epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.34307,0.72945,0.78261,1,0.48633,0.00015003,0.00015003,0.00015003
2,1.84755,0.34376,0.95652,1,0.11835,0.000313594,0.000313594,0.000313594
3,2.27835,0.14019,1,1,0.03281,0.000473858,0.000473858,0.000473858
4,2.74674,0.08245,1,1,0.0069,0.000630821,0.000630821,0.000630821
5,3.22012,0.033,1,1,0.00152,0.000784484,0.000784484,0.000784484
6,3.65337,0.02231,1,1,0.00052,0.000934845,0.000934845,0.000934845
7,4.08914,0.00966,1,1,0.00018,0.00108191,0.00108191,0.00108191
8,4.53474,0.00814,1,1,0.00011,0.00122567,0.00122567,0.00122567
9,4.96672,0.00208,1,1,3e-05,0.00136613,0.00136613,0.00136613
10,5.43352,0.00294,1,1,3e-05,0.00150329,0.00150329,0.00150329
11,5.84634,0.00811,1,1,3e-05,0.00150197,0.00150197,0.00150197
12,6.39404,0.00049,1,1,1e-05,0.00148546,0.00148546,0.00148546
13,6.83684,0.00163,1,1,2e-05,0.00146896,0.00146896,0.00146896
14,7.33577,0.02301,1,1,1e-05,0.00145246,0.00145246,0.00145246
15,7.92355,0.00053,1,1,1e-05,0.00143595,0.00143595,0.00143595
16,8.38062,0.00854,1,1,1e-05,0.00141945,0.00141945,0.00141945
17,8.84038,0.00816,1,1,2e-05,0.00140295,0.00140295,0.00140295
18,9.30613,0.00171,1,1,2e-05,0.00138644,0.00138644,0.00138644
19,9.7461,0.02038,1,1,2e-05,0.00136994,0.00136994,0.00136994
20,10.2036,0.00155,1,1,4e-05,0.00135344,0.00135344,0.00135344
21,10.6725,0.00088,1,1,8e-05,0.00133693,0.00133693,0.00133693
22,11.1302,0.00443,1,1,0.00039,0.00132043,0.00132043,0.00132043
23,11.5617,0.00693,1,1,0.0002,0.00130393,0.00130393,0.00130393
24,12.0388,0.00178,1,1,7e-05,0.00128742,0.00128742,0.00128742
25,12.4762,0.0014,1,1,3e-05,0.00127092,0.00127092,0.00127092
26,12.9656,0.01033,1,1,2e-05,0.00125442,0.00125442,0.00125442
27,13.4227,0.01667,1,1,1e-05,0.00123791,0.00123791,0.00123791
28,13.8571,0.00824,1,1,1e-05,0.00122141,0.00122141,0.00122141
29,14.3158,0.00696,1,1,1e-05,0.00120491,0.00120491,0.00120491
30,14.7951,0.00107,1,1,2e-05,0.0011884,0.0011884,0.0011884
31,15.2352,0.00953,1,1,3e-05,0.0011719,0.0011719,0.0011719
32,15.7139,0.00492,1,1,0.00034,0.0011554,0.0011554,0.0011554
33,16.1639,0.00378,1,1,0.00063,0.00113889,0.00113889,0.00113889
34,16.6509,0.02235,1,1,8e-05,0.00112239,0.00112239,0.00112239
35,17.0997,0.00152,1,1,2e-05,0.00110589,0.00110589,0.00110589
36,17.5762,0.00294,1,1,3e-05,0.00108938,0.00108938,0.00108938
37,18.0177,0.00062,1,1,4e-05,0.00107288,0.00107288,0.00107288
38,18.4673,0.00157,1,1,3e-05,0.00105638,0.00105638,0.00105638
39,18.9774,0.00359,1,1,6e-05,0.00103987,0.00103987,0.00103987
40,19.4284,0.00091,1,1,5e-05,0.00102337,0.00102337,0.00102337
41,19.8918,0.00113,1,1,6e-05,0.00100687,0.00100687,0.00100687
42,20.3583,0.0026,1,1,2e-05,0.000990365,0.000990365,0.000990365
43,20.8096,0.0062,1,1,1e-05,0.000973861,0.000973861,0.000973861
44,21.2621,0.00163,1,1,0,0.000957358,0.000957358,0.000957358
45,21.7377,0.00621,1,1,1e-05,0.000940855,0.000940855,0.000940855
46,22.1821,0.00132,1,1,1e-05,0.000924352,0.000924352,0.000924352
47,22.6339,0.00341,1,1,1e-05,0.000907848,0.000907848,0.000907848
48,23.1163,0.00277,1,1,1e-05,0.000891345,0.000891345,0.000891345
49,23.5888,0.00074,1,1,1e-05,0.000874842,0.000874842,0.000874842
50,24.0838,0.00057,1,1,1e-05,0.000858338,0.000858338,0.000858338
51,24.5373,0.00504,1,1,1e-05,0.000841835,0.000841835,0.000841835
52,25.0214,0.00423,1,1,1e-05,0.000825332,0.000825332,0.000825332
53,25.4458,0.00114,1,1,1e-05,0.000808828,0.000808828,0.000808828
54,25.9502,0.00375,1,1,1e-05,0.000792325,0.000792325,0.000792325
55,26.3973,0.00172,1,1,2e-05,0.000775822,0.000775822,0.000775822
56,26.8588,0.00017,1,1,1e-05,0.000759318,0.000759318,0.000759318
57,27.3066,0.00049,1,1,2e-05,0.000742815,0.000742815,0.000742815
58,27.7849,0.00102,1,1,2e-05,0.000726312,0.000726312,0.000726312
59,28.2695,0.00029,1,1,1e-05,0.000709809,0.000709809,0.000709809
60,28.773,0.00018,1,1,2e-05,0.000693305,0.000693305,0.000693305
61,29.2239,0.00464,1,1,2e-05,0.000676802,0.000676802,0.000676802
62,29.7112,0.00029,1,1,0,0.000660299,0.000660299,0.000660299
63,30.1439,0.0035,1,1,0,0.000643795,0.000643795,0.000643795
64,30.6531,0.12247,1,1,1e-05,0.000627292,0.000627292,0.000627292
65,31.1058,0.00118,1,1,2e-05,0.000610789,0.000610789,0.000610789
66,31.5863,0.00015,1,1,4e-05,0.000594286,0.000594286,0.000594286
67,32.0377,0.00668,1,1,3e-05,0.000577782,0.000577782,0.000577782
68,32.4969,0.021,1,1,1e-05,0.000561279,0.000561279,0.000561279
69,32.9773,0.00521,1,1,0,0.000544776,0.000544776,0.000544776
70,33.415,0.00513,1,1,0,0.000528272,0.000528272,0.000528272
71,33.9128,0.00724,1,1,0,0.000511769,0.000511769,0.000511769
72,34.3824,0.00695,1,1,0,0.000495266,0.000495266,0.000495266
73,34.847,0.00063,1,1,0,0.000478762,0.000478762,0.000478762
74,35.3338,0.00339,1,1,0,0.000462259,0.000462259,0.000462259
75,35.7955,0.00088,1,1,0,0.000445756,0.000445756,0.000445756
76,36.2598,0.00061,1,1,0,0.000429253,0.000429253,0.000429253
77,36.7176,0.00102,1,1,0,0.000412749,0.000412749,0.000412749
78,37.1711,0.00982,1,1,0,0.000396246,0.000396246,0.000396246
79,37.66,0.00252,1,1,0,0.000379743,0.000379743,0.000379743
80,38.1247,0.00313,1,1,0,0.000363239,0.000363239,0.000363239
81,38.5913,0.00119,1,1,0,0.000346736,0.000346736,0.000346736
82,39.0738,0.00073,1,1,0,0.000330233,0.000330233,0.000330233
83,39.5279,0.00106,1,1,0,0.000313729,0.000313729,0.000313729
84,40.0149,0.00145,1,1,0,0.000297226,0.000297226,0.000297226
85,40.4519,0.01033,1,1,0,0.000280723,0.000280723,0.000280723
86,40.9694,0.00056,1,1,0,0.00026422,0.00026422,0.00026422
87,41.4341,0.00046,1,1,0,0.000247716,0.000247716,0.000247716
88,41.9291,0.00087,1,1,0,0.000231213,0.000231213,0.000231213
89,42.3928,0.00017,1,1,0,0.00021471,0.00021471,0.00021471
90,42.8907,0.00061,1,1,0,0.000198206,0.000198206,0.000198206
91,44.2189,0.00165,1,1,0,0.000181703,0.000181703,0.000181703
92,44.6816,0.00077,1,1,0,0.0001652,0.0001652,0.0001652
93,45.1145,0.0003,1,1,0,0.000148696,0.000148696,0.000148696
94,45.5649,0.02551,1,1,0,0.000132193,0.000132193,0.000132193
95,46.007,0.00139,1,1,0,0.00011569,0.00011569,0.00011569
96,46.4556,0.00174,1,1,0,9.91865e-05,9.91865e-05,9.91865e-05
97,46.8836,0.01195,1,1,0,8.26832e-05,8.26832e-05,8.26832e-05
98,47.3332,0.00115,1,1,0,6.61799e-05,6.61799e-05,6.61799e-05
99,47.747,0.00034,1,1,0,4.96766e-05,4.96766e-05,4.96766e-05
100,48.202,0.00168,1,1,0,3.31733e-05,3.31733e-05,3.31733e-05
